variant,query_set,publication_status,case_id,source_case_id,case_type,exact_sales_code,candidate_count_after_product_filter,expected_no_evidence,gate_blocked,ranked_result_count,hit_at_1,hit_at_3,hit_at_5,recall_at_1,recall_at_3,recall_at_5,mrr_at_5,ndcg_at_5,first_relevant_rank,no_evidence_success,wrong_product_hit_count,forbidden_model_hit_count,invalid_role_hit_count,ranking_latency_ms,passed
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-001,,POSITIVE,WPUIAC425SNW,62,False,False,5,0.0,1.0,1.0,0.0,1.0,1.0,0.333333,0.5,3,,0,0,0,18.0403,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-002,,POSITIVE,WPUIAC425SNW,62,False,False,5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.63093,2,,0,0,0,0.2297,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-003,,POSITIVE,WPUIAC425SNW,62,False,False,5,0.0,1.0,1.0,0.0,1.0,1.0,0.333333,0.5,3,,0,0,0,0.1366,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-004,,POSITIVE,WPUIAC425SNW,62,False,False,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0906,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-005,,POSITIVE,WPUIAC425SNW,62,False,False,5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.63093,2,,0,0,0,0.0878,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-006,,POSITIVE,WPUIAC425SNW,62,False,False,5,0.0,1.0,1.0,0.0,1.0,1.0,0.333333,0.5,3,,0,0,0,0.1023,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-007,,POSITIVE,WPUIAC425SNW,62,False,False,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0.0857,False
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-008,,POSITIVE,WPUIAC425SNW,62,False,False,5,0.0,1.0,1.0,0.0,1.0,1.0,0.333333,0.5,3,,0,0,0,0.0671,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-009,,POSITIVE,WPUIAC425SNW,62,False,False,5,0.0,1.0,1.0,0.0,1.0,1.0,0.333333,0.5,3,,0,0,0,0.0778,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-010,,POSITIVE,WPUIAC425SNW,62,False,False,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0.1124,False
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-011,,POSITIVE,WPUIAC425SNW,62,False,False,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0.085,False
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-012,,POSITIVE,WPUIAC425SNW,62,False,False,5,0.0,0.0,1.0,0.0,0.0,1.0,0.25,0.430677,4,,0,0,0,0.1042,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-013,,POSITIVE,WPUIAC425SNW,62,False,False,5,0.0,1.0,1.0,0.0,1.0,1.0,0.333333,0.5,3,,0,0,0,0.0541,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-014,,POSITIVE,WPUIAC425SNW,62,False,False,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0.0461,False
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-015,,POSITIVE,WPUIAC425SNW,62,False,False,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0.1183,False
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-016,,POSITIVE,WPUIAC425SNW,62,False,False,5,0.0,1.0,1.0,0.0,1.0,1.0,0.333333,0.5,3,,0,0,0,0.1369,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-017,,POSITIVE,WPUIAC425SNW,62,False,False,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.107,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-018,,POSITIVE,WPUIAC425SNW,62,False,False,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0.1718,False
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-019,,POSITIVE,WPUIAC606SNW,59,False,False,5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.63093,2,,0,0,0,0.885,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-020,,POSITIVE,WPUIAC606SNW,59,False,False,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.1457,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-021,,POSITIVE,WPUIAC606SNW,59,False,False,5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.63093,2,,0,0,0,0.1028,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-022,,POSITIVE,WPUIAC606SNW,59,False,False,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0736,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-023,,POSITIVE,WPUIAC606SNW,59,False,False,5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.63093,2,,0,0,0,0.0666,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-024,,POSITIVE,WPUIAC606SNW,59,False,False,5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.63093,2,,0,0,0,0.139,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-025,,POSITIVE,WPUIAC606SNW,59,False,False,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0.1026,False
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-026,,POSITIVE,WPUIAC606SNW,59,False,False,5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.63093,2,,0,0,0,0.0915,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-027,,POSITIVE,WPUIAC606SNW,59,False,False,5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.63093,2,,0,0,0,0.136,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-028,,POSITIVE,WPUIAC606SNW,59,False,False,5,0.0,1.0,1.0,0.0,1.0,1.0,0.333333,0.5,3,,0,0,0,0.1241,True
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-029,,POSITIVE,WPUIAC606SNW,59,False,False,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0.1618,False
fixed512,PRIMARY_E01_50,E01_CONTRACT_REUSE,RAG3-POS-030,,POSITIVE,WPUIAC606SNW,59,False,False,5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.63093,2,,0,0,0,0.1827,True
