variant,query_set,chunk_count,candidate_counts_by_model,average_chunk_tokens,max_chunk_tokens,case_count,hit_at_1,hit_at_3,hit_at_5,recall_at_1,recall_at_3,recall_at_5,mrr_at_5,ndcg_at_5,no_evidence_accuracy,wrong_product_hit_count,ranking_latency_p50_ms,ranking_latency_p95_ms,mean_retrieved_group_cardinality,failed_case_ids
fixed512,PRIMARY_E01_50,170,"{""WPUIAC425SNW"": 62, ""WPUIAC606SNW"": 59, ""WPUJAC104DWH"": 49}",252.147,512,50,0.139535,0.581395,0.627907,0.139535,0.581395,0.627907,0.339922,0.412971,0.714286,0,0.10285,0.350755,0.817778,"RAG3-POS-007,RAG3-POS-010,RAG3-POS-011,RAG3-POS-014,RAG3-POS-015,RAG3-POS-018,RAG3-POS-025,RAG3-POS-029,RAG3-POS-032,RAG3-POS-036,RAG3-POS-037,RAG3-POS-039,RAG3-POS-040,RAG3-POS-041,RAG3-POS-042,RAG3-POS-043,RAG3-NEG-002,RAG3-NEG-003"
section_aware_512,PRIMARY_E01_50,134,"{""WPUIAC425SNW"": 43, ""WPUIAC606SNW"": 42, ""WPUJAC104DWH"": 49}",333.739,512,50,0.093023,0.534884,0.72093,0.093023,0.534884,0.72093,0.331395,0.428567,0.714286,0,0.07485,0.22259,0.946667,"RAG3-POS-009,RAG3-POS-010,RAG3-POS-014,RAG3-POS-027,RAG3-POS-028,RAG3-POS-032,RAG3-POS-037,RAG3-POS-039,RAG3-POS-040,RAG3-POS-041,RAG3-POS-042,RAG3-POS-043,RAG3-NEG-002,RAG3-NEG-003"
parent_child_256,PRIMARY_E01_50,216,"{""WPUIAC425SNW"": 76, ""WPUIAC606SNW"": 74, ""WPUJAC104DWH"": 66}",211.042,256,50,0.27907,0.72093,0.790698,0.27907,0.72093,0.790698,0.49186,0.567592,0.714286,0,0.1031,0.2626,0.648889,"RAG3-POS-009,RAG3-POS-010,RAG3-POS-012,RAG3-POS-018,RAG3-POS-028,RAG3-POS-039,RAG3-POS-041,RAG3-POS-042,RAG3-POS-043,RAG3-NEG-002,RAG3-NEG-003"
fixed512,SUPPLEMENTAL_FAQ_DRAFT,170,"{""WPUIAC425SNW"": 62, ""WPUIAC606SNW"": 59, ""WPUJAC104DWH"": 49}",252.147,512,5,0.2,0.8,1.0,0.2,0.8,1.0,0.54,0.655929,,0,0.1251,0.132,1.68,
section_aware_512,SUPPLEMENTAL_FAQ_DRAFT,134,"{""WPUIAC425SNW"": 43, ""WPUIAC606SNW"": 42, ""WPUJAC104DWH"": 49}",333.739,512,5,0.2,0.8,1.0,0.2,0.8,1.0,0.54,0.655929,,0,0.0841,0.2064,1.68,
parent_child_256,SUPPLEMENTAL_FAQ_DRAFT,216,"{""WPUIAC425SNW"": 76, ""WPUIAC606SNW"": 74, ""WPUJAC104DWH"": 66}",211.042,256,5,0.6,0.8,1.0,0.6,0.8,1.0,0.74,0.803557,,0,0.2113,0.28398,0.96,
