scenario_id,category,runtime_name,repeat,model_code,goal_success,status,risk_level,guidance_status,evidence_count,followup_count,retrieval_outcome,awaiting_customer_input,search_calls,llm_calls,tokens_used,latency_ms,hop_count,has_feedback_handoff,trace_preserved,raw_symptom_leaked_to_multi_metadata
NORMAL_WPUJAC104DWH,PARITY_NORMAL,single_rag,1,WPUJAC104DWH,True,SUCCEEDED,caution,PARTIAL_STOP,1,0,AVAILABLE,False,1,1,18,21.602,0,False,True,False
NORMAL_WPUJAC104DWH,PARITY_NORMAL,multi_agent,1,WPUJAC104DWH,True,SUCCEEDED,caution,PARTIAL_STOP,1,0,AVAILABLE,False,1,1,18,0.398,4,False,True,False
NORMAL_WPUIAC425SNW,PARITY_NORMAL,single_rag,1,WPUIAC425SNW,True,SUCCEEDED,caution,PARTIAL_STOP,1,0,AVAILABLE,False,1,1,18,2.303,0,False,True,False
NORMAL_WPUIAC425SNW,PARITY_NORMAL,multi_agent,1,WPUIAC425SNW,True,SUCCEEDED,caution,PARTIAL_STOP,1,0,AVAILABLE,False,1,1,18,0.368,4,False,True,False
NORMAL_WPUIAC606SNW,PARITY_NORMAL,single_rag,1,WPUIAC606SNW,True,SUCCEEDED,caution,PARTIAL_STOP,1,0,AVAILABLE,False,1,1,18,2.262,0,False,True,False
NORMAL_WPUIAC606SNW,PARITY_NORMAL,multi_agent,1,WPUIAC606SNW,True,SUCCEEDED,caution,PARTIAL_STOP,1,0,AVAILABLE,False,1,1,18,0.342,4,False,True,False
DANGER_LEAK,PARITY_DANGER,single_rag,1,WPUJAC104DWH,True,SUCCEEDED,danger,TOTAL_STOP,0,0,NOT_RUN,False,0,0,,1.76,0,False,True,False
DANGER_LEAK,PARITY_DANGER,multi_agent,1,WPUJAC104DWH,True,SUCCEEDED,danger,TOTAL_STOP,0,0,NOT_RUN,False,0,0,,0.221,3,False,True,False
DANGER_ELECTRICAL,PARITY_DANGER,single_rag,1,WPUJAC104DWH,True,SUCCEEDED,danger,TOTAL_STOP,0,0,NOT_RUN,False,0,0,,1.628,0,False,True,False
DANGER_ELECTRICAL,PARITY_DANGER,multi_agent,1,WPUJAC104DWH,True,SUCCEEDED,danger,TOTAL_STOP,0,0,NOT_RUN,False,0,0,,0.208,3,False,True,False
