case_id,case_type,exact_sales_code,result_count,hit_at_1,hit_at_3,hit_at_5,recall_at_1,recall_at_3,recall_at_5,expected_group_rank_at_5,mrr_at_5_contribution,ndcg_at_5,expected_no_evidence,no_evidence,cross_model_hit_count,forbidden_hit_count,unverified_evidence_hit_count,direct_parent_hit_count,latency_ms,passed
RAG3-POS-001,POSITIVE,WPUIAC425SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,238.743,True
RAG3-POS-002,POSITIVE,WPUIAC425SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,262.152,True
RAG3-POS-003,POSITIVE,WPUIAC425SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,241.837,True
RAG3-POS-004,POSITIVE,WPUIAC425SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,203.7,True
RAG3-POS-005,POSITIVE,WPUIAC425SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,230.426,True
RAG3-POS-006,POSITIVE,WPUIAC425SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,237.467,True
RAG3-POS-007,POSITIVE,WPUIAC425SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,223.45,True
RAG3-POS-008,POSITIVE,WPUIAC425SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,237.899,True
RAG3-POS-009,POSITIVE,WPUIAC425SNW,5,False,True,True,0.0,1.0,1.0,2,0.5,0.6309297535714575,False,False,0,0,0,0,264.427,True
RAG3-POS-010,POSITIVE,WPUIAC425SNW,5,False,True,True,0.0,1.0,1.0,3,0.3333333333333333,0.5,False,False,0,0,0,0,255.092,True
RAG3-POS-011,POSITIVE,WPUIAC425SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,405.088,True
RAG3-POS-012,POSITIVE,WPUIAC425SNW,5,False,True,True,0.0,1.0,1.0,3,0.3333333333333333,0.5,False,False,0,0,0,0,304.769,True
RAG3-POS-013,POSITIVE,WPUIAC425SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,245.334,True
RAG3-POS-014,POSITIVE,WPUIAC425SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,236.774,True
RAG3-POS-015,POSITIVE,WPUIAC425SNW,5,False,True,True,0.0,1.0,1.0,2,0.5,0.6309297535714575,False,False,0,0,0,0,207.896,True
RAG3-POS-016,POSITIVE,WPUIAC425SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,234.825,True
RAG3-POS-017,POSITIVE,WPUIAC425SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,268.698,True
RAG3-POS-018,POSITIVE,WPUIAC425SNW,5,False,True,True,0.0,1.0,1.0,2,0.5,0.6309297535714575,False,False,0,0,0,0,296.099,True
RAG3-POS-019,POSITIVE,WPUIAC606SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,289.169,True
RAG3-POS-020,POSITIVE,WPUIAC606SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,364.976,True
RAG3-POS-021,POSITIVE,WPUIAC606SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,358.523,True
RAG3-POS-022,POSITIVE,WPUIAC606SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,309.451,True
RAG3-POS-023,POSITIVE,WPUIAC606SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,318.634,True
RAG3-POS-024,POSITIVE,WPUIAC606SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,286.647,True
RAG3-POS-025,POSITIVE,WPUIAC606SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,316.475,True
RAG3-POS-026,POSITIVE,WPUIAC606SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,270.675,True
RAG3-POS-027,POSITIVE,WPUIAC606SNW,5,False,True,True,0.0,1.0,1.0,2,0.5,0.6309297535714575,False,False,0,0,0,0,304.432,True
RAG3-POS-028,POSITIVE,WPUIAC606SNW,5,False,True,True,0.0,1.0,1.0,3,0.3333333333333333,0.5,False,False,0,0,0,0,312.618,True
RAG3-POS-029,POSITIVE,WPUIAC606SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,367.85,True
RAG3-POS-030,POSITIVE,WPUIAC606SNW,5,False,True,True,0.0,1.0,1.0,3,0.3333333333333333,0.5,False,False,0,0,0,0,448.937,True
RAG3-POS-031,POSITIVE,WPUIAC606SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,573.704,True
RAG3-POS-032,POSITIVE,WPUIAC606SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,694.176,True
RAG3-POS-033,POSITIVE,WPUIAC606SNW,5,False,True,True,0.0,1.0,1.0,2,0.5,0.6309297535714575,False,False,0,0,0,0,733.371,True
RAG3-POS-034,POSITIVE,WPUIAC606SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,435.4,True
RAG3-POS-035,POSITIVE,WPUIAC606SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,490.38,True
RAG3-POS-036,POSITIVE,WPUIAC606SNW,5,True,True,True,1.0,1.0,1.0,1,1.0,1.0,False,False,0,0,0,0,507.193,True
