metric,value
case_count,50
passed_count,50
positive_case_count,43
negative_case_count,7
hit_at_1,0.674419
hit_at_3,1.0
hit_at_5,1.0
recall_at_1,0.674419
recall_at_3,1.0
recall_at_5,1.0
mrr_at_5,0.810078
ndcg_at_5,0.858523
no_evidence_accuracy,1.0
cross_model_hit_count,0
forbidden_hit_count,0
unverified_evidence_hit_count,0
direct_parent_hit_count,0
positive_latency_count,43
positive_latency_mean_ms,375.267
positive_latency_p50_ms,309.451
positive_latency_p95_ms,689.597
positive_latency_max_ms,776.847
