model_key,model_id,family,size,role,case_count,api_success_rate,relevant_message_selection_accuracy,downstream_accept_rate,latency_p50_ms,latency_p95_ms,input_tokens,cached_input_tokens,cache_write_tokens,output_tokens,reasoning_tokens,total_tokens,estimated_cost_usd
gpt_4o_mini,gpt-4o-mini-2024-07-18,4o,mini,HISTORICAL_MINI_REFERENCE,39,1.0,0.589744,0.923077,3956.196,5486.193,256505,2944,0,11035,0,267540,0.044876
gpt_4_1_nano,gpt-4.1-nano-2025-04-14,4.1,nano,GENERATION_4_1_NANO,39,1.0,0.615385,0.948718,3255.982,7513.484,256505,3968,0,11194,0,267699,0.029831
gpt_4_1_mini,gpt-4.1-mini-2025-04-14,4.1,mini,CURRENT_PROJECT_BASELINE,39,1.0,0.74359,0.974359,4816.265,6818.401,256505,0,0,11063,0,267568,0.120303
gpt_4_1_full,gpt-4.1-2025-04-14,4.1,full,GENERATION_4_1_FULL,39,1.0,0.846154,0.974359,2776.972,4158.168,256505,12544,0,11272,0,267777,0.58437
gpt_5_nano,gpt-5-nano-2025-08-07,5,nano,GENERATION_5_NANO,39,1.0,0.538462,0.948718,3379.537,5204.6,256427,6528,0,11796,0,268223,0.017246
gpt_5_mini,gpt-5-mini-2025-08-07,5,mini,GENERATION_5_MINI,39,1.0,0.692308,0.897436,4783.926,6344.634,256427,12800,0,11926,0,268353,0.085079
gpt_5_full,gpt-5-2025-08-07,5,full,GENERATION_5_FULL,39,1.0,0.871795,0.974359,3641.924,10176.372,256427,11904,0,12028,0,268455,0.427422
gpt_5_4_nano,gpt-5.4-nano-2026-03-17,5.4,nano,GENERATION_5_4_NANO,39,1.0,0.538462,0.948718,2637.065,3605.626,256427,5888,0,11544,0,267971,0.064656
gpt_5_4_mini,gpt-5.4-mini-2026-03-17,5.4,mini,GENERATION_5_4_MINI,39,1.0,0.74359,0.974359,2298.141,7095.35,256427,6400,0,11563,0,267990,0.240034
gpt_5_4_full,gpt-5.4-2026-03-05,5.4,full,GENERATION_5_4_FULL,39,1.0,1.0,0.974359,2575.266,3575.201,256427,14592,0,11497,0,267924,0.78069
gpt_5_6_luna,gpt-5.6-luna,5.6,luna,GENERATION_5_6_LUNA,39,1.0,0.871795,1.0,2718.049,4147.782,256427,11604,244706,11494,0,267921,0.075225
gpt_5_6_terra,gpt-5.6-terra,5.6,terra,GENERATION_5_6_TERRA,39,1.0,1.0,1.0,2467.602,4262.803,256427,11604,244706,11500,0,267927,0.75232
gpt_5_6_sol,gpt-5.6-sol,5.6,sol,GENERATION_5_6_SOL,39,1.0,0.948718,1.0,3285.078,5128.467,256427,11604,244706,11491,0,267918,1.45846
