data_id,source_name,source_type,exact_sales_code,product_model,version,page_count,file_size_bytes,sha256,source_url,local_path,scope_role,verification_status,verified_at,deletion_scope
SRC-JAC104D-MANUAL,"WPU-JAC104,WPU-JCC104 냉온정수기 메뉴얼",official_manual,WPUJAC104DWH,"WPU-JAC104 (D) / WPU-JCC104 (D)",REV.00,44,5131906,0C6B94AF53F23211F5FE542CB7712109E4A769A6F42ED758DA7792FC62E44B2C,https://www.skintellixservice.com/web/easy/easyMain.do?inputBasicKeyword=WPUJAC104DWH&tabIndex=3,"메뉴얼 원본, 크롤링 원본/WPU-JAC104,WPU-JCC104-냉온정수기메뉴얼.pdf",mvp,LOCAL_FILE_AND_VISUAL_VERIFIED,2026-08-18T00:00:00+09:00,external_backup_preserved
SRC-IAC425-MANUAL,WPU-IAC425 얼음정수기 메뉴얼,official_manual,WPUIAC425SNW,WPU-IAC425,REV.02,52,8571676,97C027CE75BEC40386307C867DD3983513CB70FAC687F2D2DB6F1167EC9CAEC8,https://www.skintellixservice.com/web/easy/easyMain.do?inputBasicKeyword=WPUIAC425SNW&tabIndex=3,"메뉴얼 원본, 크롤링 원본/WPU-IAC425-얼음정수기메뉴얼.pdf",expansion,RAG_READY_LIMITED_SCOPE,2026-08-18T00:00:00+09:00,external_backup_preserved
SRC-IAC606-MANUAL,WPU-IAC606 얼음정수기 mini 메뉴얼,official_manual,WPUIAC606SNW,WPU-IAC606,REV.00,48,8448650,A062C0DD5C2ED17BC3734215C3106DCC82AB69346CF546BDDD9EDD328EA49572,https://www.skintellixservice.com/web/easy/easyMain.do?inputBasicKeyword=WPUIAC606SNW&tabIndex=3,"메뉴얼 원본, 크롤링 원본/WPUIAC606SNW MegaIceMini메뉴얼.pdf",expansion,RAG_READY_LIMITED_SCOPE,2026-08-18T00:00:00+09:00,external_backup_preserved
SRC-WATER-FAQ-20260715,SK매직 정수기 FAQ 원문,official_faq_snapshot,,,snapshot-20260715,119,79555,670C739A69B3ACF811D763FF17F21C53EB661F7BAE1F7D505275B571FF4D3FF8,https://www.skmagic.com/customer/faq/indexFaqList,"메뉴얼 원본, 크롤링 원본/Q&A 크롤링.md",mvp_candidate,LOCAL_FILE_AND_OFFICIAL_LANDING_VERIFIED,2026-08-18T00:00:00+09:00,external_backup_preserved
SRC-IAC506-MANUAL,WPU-IAC506 사용설명서,official_manual,,WPU-IAC506,REV.00,,,,,data/raw/archive/WPU-IAC506_20260720/manuals/,excluded,MISSING_NOT_PROCESSED,2026-07-24T18:41:53+09:00,no_file_present
