query_code,exact_sales_code,product_model,model_family,product_generation,scope_role,mvp_use,document_id
WPUJAC104DWH,WPUJAC104DWH,WPU-JAC104 (D),WPU-JAC104,D,mvp,include,MAN-SKMAGIC-WPU-JAC104D-JCC104D-REV00
WPUIAC425SNW,WPUIAC425SNW,WPU-IAC425,WPU-IAC425,IAC425,expansion,rag_handoff_candidate,MAN-SKMAGIC-WPU-IAC425-REV02
WPUIAC606SNW,WPUIAC606SNW,WPU-IAC606,WPU-IAC606,IAC606,expansion,rag_handoff_candidate,MAN-SKMAGIC-WPU-IAC606-REV00
WPU-IAC506,,WPU-IAC506,WPU-IAC506,IAC506,excluded,never_use,
