variant,chunk_count,average_chunk_tokens,max_chunk_tokens,hit_at_1,hit_at_3,hit_at_5,recall_at_1,recall_at_3,recall_at_5,mrr_at_5,ndcg_at_5,no_evidence_accuracy,wrong_product_hit_count,ranking_latency_p50_ms,ranking_latency_p95_ms,mean_retrieved_group_cardinality,document_embedding_seconds,failed_case_ids
current,53,107.736,234,0.674419,0.906977,0.906977,0.674419,0.906977,0.906977,0.775194,0.808967,0.714286,0,0.0446,0.102905,1.0,46.353632,"RAG3-POS-039,RAG3-POS-041,RAG3-POS-042,RAG3-POS-043,RAG3-NEG-002,RAG3-NEG-003"
fixed512,28,311.857,512,0.604651,0.930233,1.0,0.604651,0.930233,1.0,0.75,0.812714,0.714286,0,0.0424,0.07377,2.306667,76.850669,"RAG3-NEG-002,RAG3-NEG-003"
section,6,1316.667,2240,0.697674,1.0,1.0,0.697674,1.0,1.0,0.848837,0.888421,0.714286,0,0.03375,0.05434,8.644444,74.008426,"RAG3-NEG-002,RAG3-NEG-003"
parent_child,43,204.558,256,0.534884,0.906977,0.906977,0.534884,0.906977,0.906977,0.697674,0.751379,0.714286,0,0.0417,0.055835,1.324444,41.973585,"RAG3-POS-039,RAG3-POS-041,RAG3-POS-042,RAG3-POS-043,RAG3-NEG-002,RAG3-NEG-003"
