"수집시각","data_id","수집방식","자동화여부","성공여부","저장경로","오류","재시도결과","비고"
"2026-07-20 11:09:33","MAN-SKMAGIC-WPU-IAC506-REV00","직접 다운로드 후 사용자 제공","N","성공","data/raw/manuals/SK매직_WPU-IAC506_사용설명서_REV00.pdf","없음","해당 없음","프로젝트 등록 시 원본과 복사본의 SHA-256 일치 확인"
"2026-07-15 19:26:24","FAQ-SKMAGIC-WATER-PURIFIER-20260715","공식 FAQ 웹 크롤링","Y(결과 파일 기준)","성공","data/raw/faq/SK매직_정수기공통_FAQ_20260715.md","수집 결과 파일에는 개별 오류 기록 없음","확인 불가","119건 수집 결과만 확보됨. 실행 환경, 요청 간격, 재시도, 타임아웃, 중복 처리 로그는 미확보"
